date,state,positive,negative,death,dataQualityGrade,totalTestResults,new_negatives,new_positives,new_tests,ratio_new_positives
20200523,PA,66983,321469,5096,A,388452,8726,725,9451,0.076711459
20200523,PR,3100,0,127,B,3100,0,70,70,1
20200523,RI,13952,116180,597,A+,130132,2777,216,2993,0.072168393
20200523,SC,9895,149015,425,A+,158910,8630,257,8887,0.028918645
20200523,SD,4468,29060,50,C,33528,1072,112,1184,0.094594595
20200523,TN,19789,353969,329,B,373758,12347,395,12742,0.030999843
20200523,TX,54509,708197,1506,B,762706,20284,1060,21344,0.049662669
20200523,UT,8260,182519,97,B,190779,3742,203,3945,0.051457541
20200523,VA,35749,196721,1159,A+,232470,6496,799,7295,0.109527073
20200523,VI,69,1343,6,C,1412,0,0,0,0
20200523,VT,954,26470,54,B,27424,1689,2,1691,0.001182732
20200523,WA,19265,289093,1050,B,308358,5283,148,5431,0.027250967
20200523,WI,14877,179329,507,A+,194206,6626,481,7107,0.067679752
20200523,WV,1717,82027,72,B,83744,-1186,101,-1085,-0.093087558
20200523,WY,813,19221,12,C,20034,600,10,610,0.016393443
20200522,AK,404,41042,10,C,41446,1899,2,1901,0.001052078
20200522,AL,13563,164205,537,B,177768,6585,444,7029,0.06316688
20200522,AR,5612,97435,113,A,103047,3617,154,3771,0.040837974
20200522,AS,0,124,0,C,124,0,0,0,0
20200522,AZ,15608,160395,775,A+,176003,4083,293,4376,0.066956124
20200522,CA,88444,1378329,3630,B,1466773,43399,2247,45646,0.049226657
20200522,CO,23191,119034,1310,A,142225,6220,394,6614,0.059570608
20200522,CT,39640,162688,3637,B,202328,5449,432,5881,0.073456895
20200522,DC,7893,35100,418,A+,42993,1132,105,1237,0.084882781
20200522,DE,8529,40457,322,B,48986,1301,143,1444,0.099030471
20200522,FL,49451,786045,2268,A,835496,20791,776,21567,0.035980897
20200522,GA,41218,386031,1785,A,427249,18705,813,19518,0.041653858
20200522,GU,165,5114,5,C,5279,215,0,215,0
20200522,HI,647,47338,17,C,47985,832,4,836,0.004784689
20200522,IA,16504,103746,425,A+,120250,3351,334,3685,0.09063772
20200522,ID,2534,37061,77,A,39595,679,28,707,0.03960396
20200522,IL,105444,591689,4715,A,697133,22355,2758,25113,0.109823597
20200522,IN,30409,178152,1941,A+,208561,5093,473,5566,0.084980237
